"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.80189476913","74.8425337465227","74.8975781300579","74.8746013969539","74.8363135262414","74.4746588603651","74.5850809586206","74.665863155752","74.6891571406058","74.8325532088005","74.9237890231825","75.2498576695792","75.4149988223986","75.1314715686213","75.1843515905191","75.009025961175","74.457173215853","73.9502959312758","74.1220677833557","73.8222187609141","73.0983923904","72.5202222751066","71.9986793178349","71.464634138791","71.1217918930965","70.8446572190207","70.5441086364179","70.2190268008316","70.1368949120854","","",
"Afghanistan","AFG","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5099983215332","90.6599998474121","91.1599998474121","91.7299995422363","91.5099983215332","91.7599983215332","92","92.2200012207031","92.4900016784668","92.8699989318847","93.3299980163574","92.5200004577636","92.1599998474121","92.1000022888184","91.7199974060059","91.4700012207031","90.8900032043457","90.5900001525879","89.25","87.8299999237061","87","85.5699977874756","84.3799991607666","83.3300018310547","82.3800010681153","81.3099975585937","79.829999923706","79.6199989318848","79.3600006103515","","",
"Africa Western and Central","AFW","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6596415555207","87.6125525977748","87.711467486386","87.6984362636315","87.4569857488594","87.2743749677153","87.1304313760077","87.2846523568544","87.01261778409","86.4402999608414","86.4558972293921","86.3541136856129","85.7910835655116","85.0787491017268","84.6192326386791","84.2262201698281","83.8967351311827","83.3032560237458","83.1081900229429","82.0702993049986","81.0569353682434","80.6949845307762","80.7678578715176","80.4546886039939","80.6336209770335","80.5137675387536","79.7259697773735","79.1151356094202","78.5954373219634","","",
"Angola","AGO","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.479998588562","64.9199991226196","65.1400008201599","63.9800000190735","63.9500012397766","63.4300014972687","63.5499997138977","63.5399990081788","61.5899982452393","61.1699988842011","61.3199985027313","61.0799994468688","61.069999217987","59.8800005912781","59.7700004577637","60.699999332428","61","61.8699984550476","65.9900016784668","66.4199991226196","67.7100019454956","67.9000005722046","69","70.0699996948242","71.1499996185303","71.6999998092651","72.4100017547608","73.1300010681152","73.710000038147","","",
"Albania","ALB","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.5899982452393","62.170000076294","62.1400012969971","62.0699996948242","61.5100021362305","61.1800003051757","63.1499996185303","62.6100006103515","61.439998626709","60.6000022888184","59.329999923706","58.8000011444092","58.0400009155274","57.2700023651123","56.8899993896485","55.6599998474121","54.8799991607666","58.420000076294","56.4799995422363","55.1299991607666","59.2000007629394","61.5300006866455","57.7799987792969","55.9799995422364","56.4600009918213","55.8999996185302","54.1100006103516","52.1900005340577","51.2000007629394","","",
"Andorra","AND","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0625009611745","35.4321863776946","35.4257325161212","34.9239709701052","34.431871539095","34.1390664076465","33.911461231039","33.4398750604931","33.0601852992094","33.0706388013584","32.4170848733636","32.7632071713492","32.9128555544686","33.0704806355526","32.2657847938066","30.8829249742726","31.0211751950611","29.5831575939685","29.2519337914366","28.2787378656136","27.9679870541012","27.0312544257412","27.6751057579496","27.3227415326795","27.1441414348569","25.621707886403","25.9093561904881","25.3417505167287","25.0100917447468","","",
"United Arab Emirates","ARE","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6599999666214","1.66999995708466","1.67999994754791","1.67999994754791","1.67999994754791","1.67999994754791","1.6599999666214","1.69000005722046","1.70000004768372","1.6599999666214","1.67999994754791","1.69000005722046","1.64999997615814","1.5900000333786","1.57000005245209","1.38999998569489","1.26999998092651","1.1599999666214","1.03999996185303","0.910000026226044","0.779999971389771","0.670000026002527","0.560000011697412","0.470000008121133","0.399999985471368","0.340000012889505","0.709999974817037","0.96000000834465","1.39999997615814","","",
"Argentina","ARG","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.789999961853","24.3400003910064","25.3800008296967","24.9800003767013","24.1399995088577","24.5300005674363","23.6400003433227","23.2800008058548","23.0699990987778","22.820000052452","23.7600001096725","24.5500005483627","22.539999127388","21.60999917984","21.2799999713898","20.2600004673004","19.1699995398521","19.0999991893768","19.5900008678436","19.0500004291535","18.6199996471405","19.0299995541572","19.689999639988","20.1800003647804","20.4300003647804","21.1200006604195","21.5100000500679","21.6199997067451","22.7099996209145","","",
"Armenia","ARM","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5700006484985","39.7499990463257","41.8400001525879","43.6900005340577","45.0499992370605","46.1599998474121","47.1399993896484","47.670000076294","48.3700008392334","48.9799995422364","49.1399993896484","48.829999923706","48.1000003814697","47.3099994659424","46.2800006866455","44.9599990844727","43.2399997711182","41.8999996185302","42.5900001525879","42.6199989318848","43.8000001907349","43.0999994277954","42.3400001525879","42.7299990653992","41.8899993896484","40.9099998474121","39.1199991703033","34.700000166893","33.0700008869171","","",
"American Samoa","ASM","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4799999594688","12.8299999237061","13.1400004625321","12.7400000095368","12.480000436306","12.5700004100799","12.6700002551078","12.3500002026558","12.3000000715255","12.429999947548","12.4000001549721","12.7100000083447","12.3999995291233","12.2299999296666","12.1999996602535","11.7800000309944","11.5000002682209","11.3300001472235","11.460000038147","11.5300002396106","11.2700001895428","10.8100003749132","10.5200001895428","10.8499996513128","10.8600001186132","10.8699996173382","10.7400001883507","10.6399998068809","10.6100000739097","","",
"Austria","AUT","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.96000027656555","9.84000015258789","9.76999998092651","9.5699999332428","9.42000031471253","9.53999996185303","8.94999980926514","8.66000008583068","8.7299997806549","8.51000022888184","8.52999997138977","8.26999974250793","7.9500002861023","8.28000020980835","8.33999979496003","8.25000023841858","8.80999994277954","8.84999990463257","8.90000009536743","9.04000020027161","8.59999990463256","8.46000015735626","8.70999991893768","8.59000015258789","8.49000012874603","8.16999983787537","7.72000026702881","7.43999981880188","7.37000000476837","","",
"Azerbaijan","AZE","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.7599992752076","48.2900009155274","48.1199998855591","50.3399991989136","53.5499982833862","55.2300014495849","56.4099998474121","56.7999992370605","57.6000003814697","58.329999923706","59","59.7299995422363","59.2999992370605","58.6299991607666","59.2000007629394","59.0999984741211","57.5200004577637","56.6400012969971","55.3600006103515","55.9700012207032","57.5399990081787","57.1300010681152","56.4300003051757","56.7399978637695","55.3199996948243","55.0500011444092","55.2099990844726","55.4699993133545","54.1599998474122","","",
"Burundi","BDI","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.6499977111816","80.810001373291","81.0400009155273","81.0800018310547","81.8800010681152","82.8199996948242","82.8400001525879","82.8400001525879","82.9099998474121","82.879997253418","82.9500007629394","82.9899978637695","82.9199981689453","83.9500007629395","83.4699974060059","83.7299995422364","83.5099983215332","83.8099975585938","83.4299983978272","83.7300014495849","83.7900009155273","83.5499992370605","83.5200004577637","83.5200004577636","83.8399982452393","83.7800006866455","84.1499996185303","84.3700008392334","84.5700016021728","","",
